author,birthDate,birthPlace
Paul Morand,1888-03-13T00:00:00Z,8e arrondissement de Paris
Arthur Rimbaud,1854-10-20T00:00:00Z,Charleville
Charles Baudelaire,1821-04-09T00:00:00Z,Paris
Charles Baudelaire,1821-04-09T00:00:00Z,ancien 11e arrondissement de Paris
Stendhal,1783-01-23T00:00:00Z,Grenoble
Émile Zola,1840-04-02T00:00:00Z,rue Saint-Joseph
Victor Hugo,1802-02-26T00:00:00Z,Besançon
Q539,1807-07-04T00:00:00Z,Nice
Brigitte Fontaine,1939-06-24T00:00:00Z,Morlaix
Paul Verlaine,1844-03-30T00:00:00Z,Metz
Stéphane Mallarmé,1842-03-18T00:00:00Z,Paris
Hector Berlioz,1803-12-11T00:00:00Z,La Côte-Saint-André
Robert Brasillach,1909-03-31T00:00:00Z,Perpignan
Serge Gainsbourg,1928-04-02T00:00:00Z,4e arrondissement de Paris
Renaud,1952-05-11T00:00:00Z,15e arrondissement de Paris
Antoine de Saint-Exupéry,1900-06-29T00:00:00Z,Lyon
Antoine de Saint-Exupéry,1900-06-29T00:00:00Z,2e arrondissement de Lyon
Charles Maurras,1868-04-20T00:00:00Z,Martigues
George Orwell,1903-06-25T00:00:00Z,Motihari
George Sand,1804-07-01T00:00:00Z,ancien 6e arrondissement de Paris
Louis Aragon,1897-10-03T00:00:00Z,16e arrondissement de Paris
Elsa Triolet,1896-09-24T00:00:00Z,Moscou
Joachim du Bellay,1522-01-01T00:00:00Z,Liré
Sławomir Mrożek,1930-06-26T00:00:00Z,Borzęcin
Sławomir Mrożek,1930-06-29T00:00:00Z,Borzęcin
Mathieu Bandello,1485-01-01T00:00:00Z,Castelnuovo Scrivia
Pierre Delaire,1919-12-30T00:00:00Z,Orléans
Per Denez,1921-02-03T00:00:00Z,Rennes
Georges Duhamel,1884-06-30T00:00:00Z,Paris
Élisée Reclus,1830-03-15T00:00:00Z,Sainte-Foy-la-Grande
Maurice Genevoix,1890-11-29T00:00:00Z,Decize
Octave Mirbeau,1848-02-16T00:00:00Z,Trévières
George Clooney,1961-05-06T00:00:00Z,Lexington
Maxime Raybaud,1795-06-19T00:00:00Z,La Colle-sur-Loup
Mikhaïl Bakounine,1814-05-30T00:00:00Z,Priamoukhino
Louis Antoine de Saint-Just,1767-08-25T00:00:00Z,Decize
Bernard Werber,1961-09-18T00:00:00Z,Toulouse
Henry Dunant,1828-05-08T00:00:00Z,Genève
Edmond Privat,1889-08-19T00:00:00Z,Genève
Gaston Waringhien,1901-07-29T00:00:00Z,Lille
Jean Jaurès,1859-09-03T00:00:00Z,Castres
Auguste Comte,1798-01-19T00:00:00Z,Montpellier
Arlette Laguiller,1940-03-18T00:00:00Z,14e arrondissement de Paris
Georges Lagrange,1928-08-31T00:00:00Z,Gagny
Michel Jobert,1921-09-11T00:00:00Z,Meknès
Raymond Schwartz,1894-04-08T00:00:00Z,Metz
Laurent Fignon,1960-08-12T00:00:00Z,18e arrondissement de Paris
Jean-Baptiste Say,1767-01-05T00:00:00Z,Lyon
Frédéric Bastiat,1801-06-30T00:00:00Z,Bayonne
François Quesnay,1694-06-04T00:00:00Z,Méré
Eugène-Melchior de Vogüé,1848-02-25T00:00:00Z,Nice
Tristan Tzara,1896-04-16T00:00:00Z,Moinești
Tristan Tzara,1896-04-16T00:00:00Z,Bacău
Gao Xingjian,1940-01-04T00:00:00Z,district de Ganxian
