internal_id,author,birthYear,birthPlace
1,Paul Morand,1888,8e arrondissement de Paris
2,Arthur Rimbaud,1854,Charleville
3,Charles Baudelaire,1821,Paris
4,Stendhal,1783,Grenoble
5,Émile Zola,1840,rue Saint-Joseph
6,Victor Hugo,1802,Besançon
7,Q539,1807,Nice
8,Brigitte Fontaine,1939,Morlaix
9,Paul Verlaine,1844,Metz
10,Stéphane Mallarmé,1842,Paris
11,Hector Berlioz,1803,La Côte-Saint-André
12,Robert Brasillach,1909,Perpignan
13,Serge Gainsbourg,1928,4e arrondissement de Paris
14,Renaud,1952,15e arrondissement de Paris
15,Antoine de Saint-Exupéry,1900,Lyon
16,Charles Maurras,1868,Martigues
17,George Orwell,1903,Motihari
18,George Sand,1804,ancien 6e arrondissement de Paris
19,Louis Aragon,1897,16e arrondissement de Paris
20,Elsa Triolet,1896,Moscou
21,Joachim du Bellay,1522,Liré
22,Sławomir Mrożek,1930,Borzęcin
23,Mathieu Bandello,1485,Castelnuovo Scrivia
24,Pierre Delaire,1919,Orléans
25,Per Denez,1921,Rennes
26,Georges Duhamel,1884,Paris
27,Élisée Reclus,1830,Sainte-Foy-la-Grande
28,Maurice Genevoix,1890,Decize
29,Octave Mirbeau,1848,Trévières
30,George Clooney,1961,Lexington
31,Maxime Raybaud,1795,La Colle-sur-Loup
32,Mikhaïl Bakounine,1814,Priamoukhino
33,Louis Antoine de Saint-Just,1767,Decize
34,Bernard Werber,1961,Toulouse
35,Henry Dunant,1828,Genève
36,Edmond Privat,1889,Genève
37,Gaston Waringhien,1901,Lille
38,Jean Jaurès,1859,Castres
39,Auguste Comte,1798,Montpellier
40,Arlette Laguiller,1940,14e arrondissement de Paris
41,Georges Lagrange,1928,Gagny
42,Michel Jobert,1921,Meknès
43,Raymond Schwartz,1894,Metz
44,Laurent Fignon,1960,18e arrondissement de Paris
45,Jean-Baptiste Say,1767,Lyon
46,Frédéric Bastiat,1801,Bayonne
47,François Quesnay,1694,Méré
48,Eugène-Melchior de Vogüé,1848,Nice
49,Tristan Tzara,1896,Moinești
50,Gao Xingjian,1940,district de Ganxian
51,Henri Barbusse,1873,Asnières-sur-Seine
52,Pierre Carnac,1921,Piatra Neamț
53,Jean Venturini,1919,Nabeul
54,Hubert Rouger,1875,Calvisson
55,Oscar Wilde,1854,Dublin
56,Maurice Alhoy,1802,Paris
57,Henry Murger,1822,ancien 2e arrondissement de Paris
58,Daniel Yvinec,1963,Vannes
59,Jean d'Esme,1893,Shanghaï
60,Maryline Desbiolles,1959,Ugine
61,Marcel Boulenger,1873,Paris
62,Jules Verne,1828,Nantes
63,Albert Camus,1913,Dréan
64,Brigitte Bardot,1934,15e arrondissement de Paris
65,Christophe Bataille,1971,Versailles
66,Alexandre Dumas,1802,Villers-Cotterêts
67,Antoine Lavoisier,1743,Paris
68,Rodolphe Töpffer,1799,Genève
69,Anne Moreau-Vagnon,1966,Antony
70,Pierre Abélard,1079,Le Pallet
71,Chrétien de Troyes,1135,Troyes
72,Albert d'Aix,1060,Rhénanie
73,Arnaut Daniel,1150,Ribérac
74,Sarah Bernhardt,1844,Paris
75,Le Corbusier,1887,La Chaux-de-Fonds
76,Léon d'Hervey de Saint-Denys,1822,Paris
77,Jean Bodel,1165,Arras
78,Hugues Primat,1093,Orléans
79,Hugues Primat,1095,Orléans
80,Eudes de Deuil,1110,Deuil-la-Barre
81,Gautier d'Arras,1135,Arras
82,Héloïse d'Argenteuil,1101,Paris
83,Conon de Béthune,1150,Artois
84,Adolphe Thiers,1797,Marseille
85,Pierre-Joseph Proudhon,1809,Besançon
86,Anna de Noailles,1876,7e arrondissement de Paris
87,James Joyce,1882,Dublin
88,Julien Offray de La Mettrie,1709,Saint-Malo
89,Paul Henri Thiry d’Holbach,1723,Edesheim
90,Michel Audiard,1920,14e arrondissement de Paris
91,Simone de Beauvoir,1908,6e arrondissement de Paris
92,Marcel Proust,1871,16e arrondissement de Paris
93,Napoléon III,1808,Paris
94,Louis Bonaparte,1778,Ajaccio
95,Boris Vian,1920,Ville-d'Avray
96,Alfred Jarry,1873,Laval
97,Voltaire,1694,Paris
98,René Descartes,1596,Descartes
99,Guy de Maupassant,1850,Tourville-sur-Arques
100,Jean-Paul Sartre,1905,Paris
101,Honoré de Balzac,1799,Tours
102,Yann-Fañch Kemener,1957,Saint-Brieuc
103,Anne Cuneo,1936,Paris
104,James Guillaume,1844,Londres
105,Alexandre Voisard,1930,Porrentruy
106,Jacques Arago,1790,Estagel
107,Edmond Kaiser,1914,Paris
108,Auguste Viatte,1901,Porrentruy
109,Jacques Neirynck,1931,Uccle
110,Colette Peignot,1903,Meudon
111,August Hermann Ewerbeck,1816,Gdańsk
112,Alfred Kantorowicz,1899,Berlin
113,Adolphe Joanne,1813,Dijon
114,Gabrielle Bossis,1874,Nantes
115,Lucien Bonaparte,1775,Ajaccio
116,André Malraux,1901,18e arrondissement de Paris
117,Louis-Ferdinand Céline,1894,Courbevoie
118,Joséphine Baker,1906,Saint-Louis
119,Paul Éluard,1895,Saint-Denis
120,Robert Capa,1913,Budapest
121,Emmanuel Levinas,1906,Kaunas
122,Marguerite Duras,1914,Gia Định
123,Jean Arp,1886,Strasbourg
124,Paul Celan,1920,Tchernivtsi
125,Louis-Antoine de Bougainville,1729,Paris
126,Gabriel Marcel,1889,8e arrondissement de Paris
127,François Arago,1786,Estagel
128,Léopold Sédar Senghor,1906,Joal-Fadiouth
129,Julien Benda,1867,Paris
130,Pierre Boulez,1925,Montbrison
131,Nadar,1820,rue Saint-Honoré
132,J. M. G. Le Clézio,1940,Nice
133,Henri Bergson,1859,Paris
134,Sully Prudhomme,1839,10ᵉ arrondissement de Paris
135,Anatole France,1844,Paris
136,Frédéric Mistral,1830,Maillane
137,Gustave Flaubert,1821,Rouen
138,Bernard Comment,1960,Porrentruy
139,Jérôme Ferrari,1968,Paris
140,Heinrich Heine,1797,Düsseldorf
141,Pierre-Simon de Laplace,1749,Beaumont-en-Auge
142,André Vingt-Trois,1942,14e arrondissement de Paris
143,Jacques Maritain,1882,9e arrondissement de Paris
144,Ivan Bounine,1870,Voronej
145,Romain Rolland,1866,Clamecy
146,André Gide,1869,Paris
